codigo_dane,nombre,tratamiento,par_id,pionero,municipio_nombre,zona,ruralidad,pdet,zona_ptafi,tei_nivel_pre,tei_slope_pre,matricula_pre,num_jornadas,pct_jornada_completa,composicion_grados,tiene_preescolar,tiene_primaria,tiene_basica,tiene_media
176001043791,INSTITUCION EDUCATIVA NUEVO LATIR,1,1,1,Cali,URBANO,0,0,D,88.9038638514175,-1.1683834405399125,1260.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0
376001030965,LICEO PIGMALION,0,1,1,Cali,URBANO,0,0,D,95.16745953355237,,651.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
119548000014,INSTITUCION EDUCATIVA EL OASIS,1,2,0,Piendamo,URBANO,0,0,D,88.12728061959906,-3.300015784652686,941.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
119548000251,INSTITUCION EDUCATIVA MADRE DE DIOS,0,2,0,Piendamo,URBANO,0,0,D,90.9504481706702,0.9777490020274087,1230.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
244430001635,INSTITUCION EDUCATIVA NO. 14,1,3,0,Maicao,URBANO,0,0,A,98.51917361165148,-1.3372213277041851,1015.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
344430001176,LICEO COMERCIAL DEL CARIBE,0,3,0,Maicao,URBANO,0,0,A,99.56896551724138,,301.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0
166001006059,ESCUELA NORMAL SUPERIOR EL JARDIN,1,4,0,Pereira,URBANO,0,0,C,86.81891642771784,-3.432991142214064,,,,,,,,
366001000670,GIMNASIO PEREIRA,0,4,0,Pereira,URBANO,0,0,C,97.53860577328943,,442.0,1.0,100.0,4.0,1.0,1.0,1.0,1.0
119001003981,INSTITUCION EDUCATIVA TOMAS CIPRIANO DE MOSQUERA,1,5,0,Popayan,URBANO,0,0,D,96.70943209628567,3.694207178719765,1399.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
119001001474,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,0,5,0,Popayan,URBANO,0,0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0
168001000525,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR,1,6,0,Bucaramanga,URBANO,0,0,C,97.40737135118357,0.16585238172081063,4193.0,3.0,25.948008585738137,4.0,1.0,1.0,1.0,1.0
168001001921,INSTITUCION EDUCATIVA TECNICO DAMASO ZAPATA,0,6,0,Bucaramanga,URBANO,0,0,C,94.74079980653809,-3.9957939353472796,5252.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
176563000024,INSTITUCION EDUCATIVA ATENEO,1,7,0,Pradera,URBANO,0,1,D,92.8526017477126,-6.655854418828142,,,,,,,,
376563001844,INSTITUCION EDUCATIVA FIJANDO HUELLAS,0,7,0,Pradera,URBANO,0,1,D,97.61904761904762,,96.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
208573000072,INSTITUCION EDUCATIVA EUSTORGIO SALGAR,1,8,0,Puerto Colombia,RURAL,1,0,A,99.37625004866297,0.8621434479534713,526.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
308001013054,INTERNATIONAL BERCKLEY SCHOOL,0,8,0,Puerto Colombia,RURAL,1,0,A,100.0,,441.0,1.0,100.0,4.0,1.0,1.0,1.0,1.0
225126000288,INSTITUCION EDUCATIVA DEPARTAMENTAL CAPELLANIA,1,9,0,Cajica,URBANO,0,0,C,96.12225747971851,-0.2618497373351687,901.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0
125126000232,INSTITUCION EDUCATIVA DEPARTAMENTAL POMPILIO MARTINEZ,0,9,0,Cajica,URBANO,0,0,C,99.6775010686554,-0.269636283652261,1346.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
195001001111,INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO,1,10,0,San Jose del Guaviare,URBANO,0,1,E,83.01764567898707,3.9711727661370446,1586.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
395001800056,LICEO INFANTIL KABOD,0,10,0,San Jose del Guaviare,URBANO,0,1,E,0.9830508474576272,,,,,,,,,
125754002066,INSTITUCION EDUCATIVA EL BOSQUE,1,11,1,Soacha,URBANO,0,0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
325754004238,LICEO CRISTIANO VIDA NUEVA,0,11,1,Soacha,URBANO,0,0,C,99.29179282600855,,1396.0,1.0,100.0,3.0,0.0,1.0,1.0,1.0
