ATE,SE,IC_Lower,IC_Upper,p_value,t_stat,n,n_trat,n_ctrl,Variable,Nombre,Tipo,Significativo_05,Significativo_10
1.3662571153208987,2.814213266439961,-4.149600886901425,6.882115117543222,0.632359238484673,0.4854845692093701,770,383,387,CSL_pct_correctas,Conocimiento Sonidos Letras,EGRA,False,False
3.7291159592256946,3.312468160242913,-2.7633216348504153,10.221553553301804,0.272959863328869,1.1257816766311883,770,383,387,DPSS_pct_correctas,Decodificacion Pseudopalabras,EGRA,False,False
-0.9062736737897623,2.698104551989375,-6.194558595688937,4.3820112481094124,0.7402846086748212,-0.3358927188798321,770,383,387,LP_pct_correctas,Lectura de Palabras,EGRA,False,False
1.412911988138653,3.2697576808548154,-4.995813066336785,7.821637042614091,0.6700622525321274,0.4321151981419229,770,383,387,CL_pct_correctas,Comprension Lectora,EGRA,False,False
-1.3712688739529568,2.2701809603399314,-5.8208235562192225,3.078285808313309,0.5522905100284574,-0.6040350517905966,770,383,387,miss_num_pct_correctas,Numeros Faltantes,EGMA,False,False
-5.021128491244355,2.9368348906817476,-10.777324876980579,0.7350678944918707,0.10205690399506517,-1.7097074497363949,770,383,387,comp_mat_op_pct_correctas,Comparacion de Cantidades,EGMA,False,False
2.0314293788554068,3.0067698280801256,-3.8618394841816395,7.924698241892453,0.5066552391665549,0.6756185192108667,770,383,387,sums_pct_correctas,Sumas,EGMA,False,False
3.734393529643718,2.88912674372102,-1.9282948880494812,9.397081947336918,0.21020220218249697,1.2925682605512991,770,383,387,substract_pct_correctas,Restas,EGMA,False,False
2.2181852940930753,3.9363291377574736,-5.497019815911573,9.933390404097723,0.5790517270403885,0.5635162143368873,770,383,387,mult_div_pct_correctas,Multiplicacion/Division,EGMA,False,False
-0.28757470437483335,4.451117684859713,-9.011765366699871,8.436615957950204,0.9490977435001573,-0.06460730197114456,770,383,387,res_problems_pct_correctas,Resolucion de Problemas,EGMA,False,False
1.400502847223862,2.468042604841817,-3.4368606582660997,6.237866352713824,0.5764219091394542,0.5674548909635309,770,383,387,EGRA_Total,EGRA Total (Lectura),TOTAL,False,False
0.21733935550334138,2.2739524194346368,-4.239607386588546,4.674286097595229,0.9247621003769122,0.09557779382093559,770,383,387,EGMA_Total,EGMA Total (Matematicas),TOTAL,False,False
